# Performance Monitoring Events for Performance Monitoring Events for Intel Xeon Processors Based on the Cascadelake Microarchitecture with Intel Optane DC persistent memory - V1.09
# 3/28/2020 1:07:15 AM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
iMC	0x00	0x01	0x00	0x00	0x00	UNC_M_CLOCKTICKS_F	Clockticks in the Memory Controller using a dedicated 48-bit Fixed Counter	FIXED	0x53	na	0	0	0x00
iMC	0x1	0x1	0x00	0x00	0x00	UNC_M_ACT_COUNT.RD	DRAM Activate Count; Activate due to Read	0,1,2,3	0x53	na	0	0	0x00
iMC	0x1	0x8	0x00	0x00	0x00	UNC_M_ACT_COUNT.BYP	DRAM Activate Count; Activate due to Bypass	0,1,2,3	0x53	na	0	0	0x00
iMC	0x11	0x0	0x00	0x00	0x00	UNC_M_RPQ_CYCLES_NE	Read Pending Queue Not Empty	0,1,2,3	0x53	na	0	0	0x00
iMC	0x12	0x0	0x00	0x00	0x00	UNC_M_RPQ_CYCLES_FULL	Read Pending Queue Full Cycles	0,1,2,3	0x53	na	0	0	0x00
iMC	0x2	0x10	0x00	0x00	0x00	UNC_M_PRE_COUNT.BYP	DRAM Precharge commands.; Precharge due to bypass	0,1,2,3	0x53	na	0	0	0x00
iMC	0x2	0x2	0x00	0x00	0x00	UNC_M_PRE_COUNT.PAGE_CLOSE	DRAM Precharge commands.; Precharge due to timer expiration	0,1,2,3	0x53	na	0	0	0x00
iMC	0x2	0x8	0x00	0x00	0x00	UNC_M_PRE_COUNT.WR	DRAM Precharge commands.; Precharge due to write	0,1,2,3	0x53	na	0	0	0x00
iMC	0x21	0x0	0x00	0x00	0x00	UNC_M_WPQ_CYCLES_NE	Write Pending Queue Not Empty	0,1,2,3	0x53	na	0	0	0x00
iMC	0x22	0x0	0x00	0x00	0x00	UNC_M_WPQ_CYCLES_FULL	Write Pending Queue Full Cycles	0,1,2,3	0x53	na	0	0	0x00
iMC	0x23	0x0	0x00	0x00	0x00	UNC_M_WPQ_READ_HIT	Write Pending Queue CAM Match	0,1,2,3	0x53	na	0	0	0x00
iMC	0x24	0x0	0x00	0x00	0x00	UNC_M_WPQ_WRITE_HIT	Write Pending Queue CAM Match	0,1,2,3	0x53	na	0	0	0x00
iMC	0x4	0x10	0x00	0x00	0x00	UNC_M_CAS_COUNT.RD_WMM	DRAM CAS (Column Address Strobe) Commands.; Read CAS issued in WMM	0,1,2,3	0x53	na	0	0	0x00
